row_index,image_uid,file_name,relative_path,file_hash,model
48,3a5acbaeb0264619a6cffa1bce0b2d37,Port Lockroy 24th April 2020 JNH (44) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (44) (Large).jpg,f4b6b7386939b1e5dcb4ac41a7804efaa691b48cc98ccc3b5d5ccc273a488d44,openai/clip-vit-base-patch32
49,3d18012b723142568224118ef2e0625b,Port Lockroy 24th April 2020 JNH (47) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (47) (Large).jpg,33d9bd7440ac511c414b19f0325556cd87dce74b24bde2a5c31955cfb25a99b1,openai/clip-vit-base-patch32
50,56f3fa183ede44e9a4228ef7955207cf,Port Lockroy 24th April 2020 JNH (48) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (48) (Large).jpg,180fff10fba908d639370e9d1bbaab73bee26d09ace3f0f473efed6d525781bd,openai/clip-vit-base-patch32
51,808f0c59ee3347f0a24874879a790356,Port Lockroy 24th April 2020 JNH (49) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (49) (Large).jpg,ef3e0e734fdb93704e32fe36c6bae5f421d71c000d36259484d288bfa6263043,openai/clip-vit-base-patch32
52,85690c9cf2214b019b2f23afa12b9bec,Port Lockroy 24th April 2020 JNH (5) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (5) (Large).jpg,f512be0b412e0ca51d5332cd8a94a83fa15e72711fc9437c755b2725c2ae6991,openai/clip-vit-base-patch32
53,405a793161e8459187b39ca81e765a6a,Port Lockroy 24th April 2020 JNH (51) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (51) (Large).jpg,dc1b5996f3722031b27abf2cb1816a01b6b55454f6c846e5fee29ec4cc757b7f,openai/clip-vit-base-patch32
54,beedd7812af9411eb791942690720fa6,Port Lockroy 24th April 2020 JNH (52) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (52) (Large).jpg,47c79bd8b702ae3132efb9b4e7fbaa6b2845a812e36b93df7619b845363f60ac,openai/clip-vit-base-patch32
55,678f1a8cbe544efca4c8e2319b592008,Port Lockroy 24th April 2020 JNH (53) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (53) (Large).jpg,1c8cbab07254ea23887fab09e6028491cddb4fa3bd88ca619fe9acebf5a26949,openai/clip-vit-base-patch32
56,afa0c05ed49a41b3a8834957eada108d,Port Lockroy 24th April 2020 JNH (54) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (54) (Large).jpg,4dd60188c050ef8122f2f028bc3b410865e650848691776556fb75cabd8ac7ee,openai/clip-vit-base-patch32
57,9d21448f3aef4f48b07e1897453c07fc,Port Lockroy 24th April 2020 JNH (55) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (55) (Large).jpg,6834f411ba1e0c6500f6c75a8df305f891913dc94747e5f6ba7bced82d98067f,openai/clip-vit-base-patch32
58,6d35ad96d5ae4f21b56973f9320d772d,Port Lockroy 24th April 2020 JNH (56) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (56) (Large).jpg,66abd8a3a87c9b5ab06adeacf06c5db3a149f107b0aa03b7b5ddbac9237ed470,openai/clip-vit-base-patch32
59,ddc897edaea443898138a661785a1536,Port Lockroy 24th April 2020 JNH (6) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (6) (Large).jpg,c6b465330e69b15cbd77709cab6b6d9a3bba87c450be6189da956eaf24b7bace,openai/clip-vit-base-patch32
60,991cd5dbc6ee422b863c2136f1ddd5fd,Port Lockroy 24th April 2020 JNH (7) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (7) (Large).jpg,ced9e10a04e0896aeae74eb4f51d4c378818f7942375e969de80a37fa1b6f688,openai/clip-vit-base-patch32
61,cb19e8cbd229498487543673fad443d3,Port Lockroy 24th April 2020 JNH (8) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (8) (Large).jpg,ae8342ed9e338098f76d7b0b164355b5207d92ccad8eb17131ef79b8155eccb6,openai/clip-vit-base-patch32
62,af508c9cc07443d5bbc870f4afd5eeba,Port Lockroy 24th April 2020 JNH (9) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (9) (Large).jpg,ccc64630c817e614efc74677705d62531cf267ce236cdfaa923a71b100d2378f,openai/clip-vit-base-patch32
63,c7b0bc84d0e34425a9ed9512a885811e,A_1_h_16(1).jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(1).jpg,017f7e0a29bbd7807292dc8204316dc02b86878778144c6686de9a27973dd8b0,openai/clip-vit-base-patch32
64,13a723cdd6cd4bc281123b3d8de20fd5,A_1_h_16(10).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(10).JPG,28832a547b2bc6665bac98aa9818d0622c0f045c26f6be582912ac071b7236e0,openai/clip-vit-base-patch32
65,189427807d90476bbe24f8ab05210a10,A_1_h_16(11).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(11).JPG,d4adcccab9d9fd039377d40024dbb107ab21dfd4d702b86b5e35aa902c593693,openai/clip-vit-base-patch32
66,65f6365dd64e402398b1249cc32e4948,A_1_h_16(12).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(12).JPG,17e94170812b8107d6b4cfa42ac3afe08bd0806bc01f5082c1f85caa2c1fc5cb,openai/clip-vit-base-patch32
67,99d57bccca8c4c52b39bf1f666c1f6ce,A_1_h_16(13).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(13).JPG,110e4aef6f5e1b385bedf4863d729a2ddda773170dfe191cc15d4fbcf7d254f5,openai/clip-vit-base-patch32
68,e47221720ee3451da44437a1cd04bc72,A_1_h_16(14).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(14).JPG,f19c882fd5d5ced7e6714d225fd279eebf4e646c07cd584942a60eb05e33ae99,openai/clip-vit-base-patch32
